No,Fecha,Bateador,Eqp Po,Lanzador,Eqp Pe,Inn,Corredores,Zona,Estadio
1,8/10/2019,DUARTE HERNÁNDEZ Donal (PRI),PRI,MARTÍNEZ MARTÍNEZ Leandro (GRA),GRA,3,,LF,Capitán San Luis. Pinar del Río (PRI)
2,8/10/2019,RIVERA DESPAIGNE Luis Felipe (IJV),IJV,MARTÍNEZ MARTÍNEZ Jonder (MTZ),MTZ,2,,RF,Cristóbal Labra. Nueva Gerona (IJV)
3,8/10/2019,ARRUEBARUENA ESCALANTE Bárbaro Erisbel (MTZ),MTZ,GAMBOA CORREOSO Yunier (IJV),IJV,5,,CF,Cristóbal Labra. Nueva Gerona (IJV)
4,8/10/2019,LUIS CAMPILLO Willian (MTZ),MTZ,GAMBOA CORREOSO Yunier (IJV),IJV,6,2B,LF,Cristóbal Labra. Nueva Gerona (IJV)
5,8/10/2019,HERNÁNDEZ MATOS Andrés (IND),IND,DUQUESNE CANTERO Dachel (CAV),CAV,6,1B-3B,LF,Latinoamericano. Cerro (HAB)
6,8/10/2019,CIVIL GONZÁLEZ Abdel (CAV),CAV,ORTEGA DEL RÍO Marcos (IND),IND,7,,LF,Latinoamericano. Cerro (HAB)
7,8/10/2019,GUILLÉN ROOKWOOT Yoasán (IND),IND,BETANZO MARRERO Fernando (CAV),CAV,7,1B,LF,Latinoamericano. Cerro (HAB)
8,8/10/2019,QUESADA PEDROSO Pavel (CFG),CFG,ORTIZ ALVAREZ Michel (ART),ART,9,,CF,5 de Septiembre. Cienfuegos (CFG)
9,8/10/2019,SILVA LA O Edilse (SCU),SCU,MOREIRA ARGUELLO Reidel (GTM),GTM,3,1B-2B,LF,Guillermón Moncada. Santiago de Cuba (SCU)
10,8/10/2019,RAMOS LA O Ricardo (SCU),SCU,BLES MOYA Raciel (GTM),GTM,4,2B-3B,LF,Guillermón Moncada. Santiago de Cuba (SCU)
11,8/10/2019,PACHECO ABREU Walter Orlando (VCL),VCL,CRUZ RONDÓN Yoalkis (LTU),LTU,3,1B-3B,RF,Julio Antonio Mella. Las Tunas (LTU)
12,8/10/2019,REYES ORTEGA Raul (VCL),VCL,CRUZ RONDÓN Yoalkis (LTU),LTU,6,,LF,Julio Antonio Mella. Las Tunas (LTU)
13,8/10/2019,PÉREZ ROMERO Yeniet (VCL),VCL,SÁNCHEZ PÉREZ Angel (LTU),LTU,6,1B-2B-3B,LF,Julio Antonio Mella. Las Tunas (LTU)
14,8/11/2019,SAAVEDRA VALDÉS William (PRI),PRI,GARCÍA RONDÓN César (GRA),GRA,6,,RF,Capitán San Luis. Pinar del Río (PRI)
15,8/11/2019,PEÑALVER DARCOURT Yhosvani (IND),IND,RODRÍGUEZ FONSECA Yorlian (CAV),CAV,6,1B-2B,RF,Latinoamericano. Cerro (HAB)
16,8/11/2019,SEGURA MORALES Leonel (CMG),CMG,GRACIAL FUENTES Geyler (MAY),MYA,7,1B-2B,RF,Nelson Fernández. San José de las Lajas (MAY)
17,8/11/2019,QUESADA PEDROSO Pavel (CFG),CFG,GONZÁLEZ LEDESMA Yulieski (ART),ART,1,1B,LF,5 de Septiembre. Cienfuegos (CFG)
18,8/11/2019,MATEO TERRY Luis Vicente (CFG),CFG,DÍAZ ALONSO Dayron (ART),ART,5,1B,LF,5 de Septiembre. Cienfuegos (CFG)
19,8/11/2019,PEÑA CENTRAY Jorge Luis (HOL),HOL,DUARDO ROJAS Yanieski (SSP),SSP,9,,LF,Mayor General Calixto García. Holguín (HOL)
20,8/11/2019,GUZMÁN LEBLANCH Luis (SCU),SCU,MOREIRA RODRÍGUEZ Lander (GTM),GTM,7,1B-2B,RF,Guillermón Moncada. Santiago de Cuba (SCU)
21,8/12/2019,MILIÁN SANTOS Yulián Rafael (GRA),GRA,CRUZ MELENDEZ Yoandy (PRI),PRI,2,1B,LF,Capitán San Luis. Pinar del Río (PRI)
22,8/12/2019,MEDINA PÉREZ Aníbal (MTZ),MTZ,RODRÍGUEZ PÉREZ Luis Michel (IJV),IJV,1,,LF,Cristóbal Labra. Nueva Gerona (IJV)
23,8/12/2019,VÁZQUEZ TRUJILLO Juan Miguel (MTZ),MTZ,RODRÍGUEZ PÉREZ Luis Michel (IJV),IJV,3,2B-3B,LF,Cristóbal Labra. Nueva Gerona (IJV)
24,8/12/2019,ROJAS CASTELLANO Eliseo (IJV),IJV,ENTENZA GONZÁLEZ Noelvis (MTZ),MTZ,3,1B,RF,Cristóbal Labra. Nueva Gerona (IJV)
25,8/12/2019,CORREA SÁNCHEZ Lisbán (IND),IND,MARTÍNEZ ALVAREZ José Diego (CAV),CAV,1,1B-2B,RF,Latinoamericano. Cerro (HAB)
26,8/12/2019,MOA ACEVEDO Leonel (CMG),CMG,BETANCOURT LORA José Norbelis (MAY),MAY,2,,LF,Nelson Fernández. San José de las Lajas (MAY)
27,8/12/2019,SMITH LUGO Pedro (CMG),CMG,CRUZ SERRANOS Mailon (MAY),MAY,3,,RF,Nelson Fernández. San José de las Lajas (MAY)
28,8/12/2019,GONZÁLEZ VENTURA Michael (MAY),MAY,MADAN MONTEJO Frank (CMG),CMG,4,,LF,Nelson Fernández. San José de las Lajas (MAY)
29,8/12/2019,RODRÍGUEZ DELGADO Bárbaro (CFG),CFG,MARTÍNEZ CABRERA Ricardo (ART),ART,2,1B,LF,5 de Septiembre. Cienfuegos (CFG)
30,8/12/2019,VASSEL PEDROSO Edwin (CFG),CFG,SÁNCHEZ CUESTA Israel (ART),ART,8,,RF,5 de Septiembre. Cienfuegos (CFG)
31,8/12/2019,ALARCÓN TARDIO Yordanis (LTU),LTU,MIRABAL ESPINOSA Javier (VCL),VCL,2,,CF,Julio Antonio Mella. Las Tunas (LTU)
32,8/12/2019,PEÑA RIVERO Denis (LTU),LTU,DELGADO RAMOS Yanny (VCL),VCL,6,1B,CF,Julio Antonio Mella. Las Tunas (LTU)
33,8/12/2019,CEPEDA CRUZ Frederich (SSP),SSP,RODRÍGUEZ FONSECA Rubén (HOL),HOL,1,1B,CF,Mayor General Calixto García. Holguín (HOL)
34,8/12/2019,CEPEDA CRUZ Frederich (SSP),SSP,RODRÍGUEZ FONSECA Rubén (HOL),HOL,3,1B,RF,Mayor General Calixto García. Holguín (HOL)
35,8/14/2019,PROENZA MATOS Ronmy (ART),ART,ALVAREZ URBAY Yosvani (PRI),PRI,2,1B,RF,Capitán San Luis. Pinar del Río (PRI)
36,8/14/2019,JIMÉNEZ HERNÁNDEZ José Antonio (ART),ART,ZAMBRANA IZQUIERDO Yasiel (PRI),PRI,2,1B,LF,Capitán San Luis. Pinar del Río (PRI)
37,8/14/2019,PEÑALVER DARCOURT Yhosvani (IND),IND,RODRÍGUEZ LEÓN Kelbis (GRA),GRA,9,,RF,Latinoamericano. Cerro (HAB)
38,8/14/2019,GORGUET MARTÍNEZ Michel (HOL),HOL,CARRILLO CARVAJAL Robelio (VCL),VCL,7,1B,CF,Mayor General Calixto García. Holguín (HOL)
39,8/14/2019,LABRADA MARÉN Adriel (SCU),SCU,PEÑA RODRÍGUEZ José Armando (LTU),LTU,2,1B,RF,Guillermón Moncada. Santiago de Cuba (SCU)
40,8/14/2019,PÉREZ GONZÁLEZ Yaicel Manuel (SCU),SCU,CIVIL HIDALGO Alberto Pablo (LTU),LTU,5,,LF,Guillermón Moncada. Santiago de Cuba (SCU)
41,8/15/2019,DELGADO CASTAÑEDA Jefferson (MTZ),MTZ,TRENCH GARCÍA Roger (CMG),CMG,4,1B-2B-3B,CF,Victoria de Girón. Matanzas (MTZ)
42,8/15/2019,VÁZQUEZ TRUJILLO Juan Miguel (MTZ),MTZ,TRENCH GARCÍA Roger (CMG),CMG,6,,RF,Victoria de Girón. Matanzas (MTZ)
43,8/15/2019,GONZÁLEZ ASCUY Luis Antonio (CMG),CMG,RIVERO ESTRADA Reinier (MTZ),MTZ,7,1B-2B,LF,Victoria de Girón. Matanzas (MTZ)
44,8/15/2019,SANTOYA ZULUETA Yasiel (MTZ),MTZ,BASULTO VALDÉS Erislery (CMG),CMG,7,,CF,Victoria de Girón. Matanzas (MTZ)
45,8/15/2019,MARTÍN ALVAREZ Lázaro (CAV),CAV,MARTÍNEZ DÍAZ Maikel (IJV),IJV,2,,LF,Cristóbal Labra. Nueva Gerona (IJV)
46,8/15/2019,VÁZQUEZ TORRES Osvaldo (CAV),CAV,MARTÍNEZ DÍAZ Maikel (IJV),IJV,4,,LF,Cristóbal Labra. Nueva Gerona (IJV)
47,8/15/2019,ROMÁN MORA Edain (MAY),MAY,SUÁREZ BERMÚDEZ Raicol (CFG),CFG,4,2B,RF,Héroes del Mayabeque. Guines (MAY)
48,8/15/2019,GONZÁLEZ VEGA Yasniel (MAY),MAY,SUÁREZ BERMÚDEZ Raicol (CFG),CFG,6,1B-2B,LF,Héroes del Mayabeque. Guines (MAY)
49,8/15/2019,SAAVEDRA VALDÉS William (PRI),PRI,SÁNCHEZ CUESTA Israel (ART),ART,7,,LF,Pedro A . Quintana. Guane (PRI)
50,8/15/2019,CORREA SÁNCHEZ Lisbán (IND),IND,SANTANA SATIESTEBAN Carlos (GRA),GRA,9,1B,LF,Latinoamericano. Cerro (HAB)
51,8/15/2019,BROOK SALAZAR Leovarlis (GTM),GTM,PÉREZ HERNÁNDEZ Yamichel (SSP),SSP,4,1B,LF,Luis Torres. Yaguajay (SSP)
52,8/15/2019,ORTIZ LUGONES Dismani (SSP),SSP,RIERA RAMÍREZ Dayron Alexis (GTM),GTM,5,,RF,Luis Torres. Yaguajay (SSP)
53,8/15/2019,BARROSO PUERTA Dunieski Ramón (SSP),SSP,SÁNCHEZ VERA Jorge Angel (GTM),GTM,6,1B,RF,Luis Torres. Yaguajay (SSP)
54,8/15/2019,GONZÁLEZ GARCÍA Yasiel Andy (HOL),HOL,CASTILLO PÉREZ Pedro Manuel (VCL),VCL,2,1B,LF,Mayor General Calixto García. Holguín (HOL)
55,8/15/2019,GUZMÁN LEBLANCH Luis (SCU),SCU,CRUZ RONDÓN Yoalkis (LTU),LTU,2,,CF,Guillermón Moncada. Santiago de Cuba (SCU)
56,8/16/2019,IBÁÑEZ ARAGÓN Yusniel (CFG),CFG,MARTÍNEZ PÉREZ Yadián (MAY),MAY,3,1B-2B,RF,Héroes del Mayabeque. Guines (MAY)
57,8/16/2019,PACHECO ABREU Walter Orlando (VCL),VCL,VELÁZQUEZ AGUILAR Yusmel (HOL),HOL,3,1B-3B,CF,Mayor General Calixto García. Holguín (HOL)
58,8/16/2019,VIZCAINO RODRÍGUEZ Yurién (VCL),VCL,CHAPMAN AYÓN Enmanuel (HOL),HOL,7,,RF,Mayor General Calixto García. Holguín (HOL)
59,8/18/2019,FADRAGA PÉREZ Alfredo (CAV),CAV,MEDINA GARCÍA Frank Luis (PRI),PRI,7,1B,CF,Capitán San Luis. Pinar del Río (PRI)
60,8/18/2019,MORENO RODRÍGUEZ Yoan (ART),ART,CASTAÑEDA AMARO Alain (IJV),IJV,7,,CF,26 de Julio. Artemisa (ART)
61,8/18/2019,RODRÍGUEZ ACOSTA Dariel (MAY),MAY,MARTÍNEZ MARTÍNEZ Jonder (MTZ),MTZ,2,1B-2B,LF,Nelson Fernández. San José de las Lajas (MAY)
62,8/18/2019,VÁZQUEZ TRUJILLO Juan Miguel (MTZ),MTZ,NÁPOLES RENGIFO Diosvel (MAY),MAY,5,1B,LF,Nelson Fernández. San José de las Lajas (MAY)
63,8/18/2019,LUIS CAMPILLO Willian (MTZ),MTZ,PÉREZ CINTRA Carlos (MAY),MAY,7,,LF,Nelson Fernández. San José de las Lajas (MAY)
64,8/18/2019,IBÁÑEZ ARAGÓN Yusniel (CFG),CFG,GONZÁLEZ SÁNCHEZ Erick Cristhian (IND),IND,6,1B-2B-3B,RF,5 de Septiembre. Cienfuegos (CFG)
65,8/18/2019,RAMOS LA O Ricardo (SCU),SCU,ALVAREZ JIMÉNEZ Pedro Angel (SSP),SSP,4,2B,LF,José Antonio Huelga. Sancti Spiritus (SSP)
66,8/18/2019,CACERES DORCINET Maikel (HOL),HOL,GÓNGORA DE LA TORRE Dariel (CMG),CMG,1,,LF,Cándido González. Camaguey (CMG)
67,8/18/2019,GÓNGORA LANDROVE Julio David (HOL),HOL,GÓNGORA DE LA TORRE Dariel (CMG),CMG,7,1B,LF,Cándido González. Camaguey (CMG)
68,8/18/2019,PAUMIER OLIVA Yunior (HOL),HOL,RAMÍREZ ALCOLEA Angel Daniel (CMG),CMG,9,3B,LF,Cándido González. Camaguey (CMG)
69,8/19/2019,GUERRA ECHAZÁBAL Tony D. (PRI),PRI,GARCÍA ESCALANTE Vladimir (CAV),CAV,7,1B-3B,LF,Capitán San Luis. Pinar del Río (PRI)
70,8/19/2019,ROJAS CASTELLANO Eliseo (IJV),IJV,PÉREZ FERNÁNDEZ Raymel (ART),ART,6,2B,RF,Combate de Rio Hondo. Candelaria (ART)
71,8/19/2019,SAMÓN MATAMOROS Yordanis (IND),IND,SERPA SOCARRÁS Luis Alejandro (CFG),CFG,1,1B-3B,RF,5 de Septiembre. Cienfuegos (CFG)
72,8/19/2019,VASSEL PEDROSO Edwin (CFG),CFG,CUESTA LINZAY José Pablo (IND),IND,6,,LF,5 de Septiembre. Cienfuegos (CFG)
73,8/19/2019,SAMÓN MATAMOROS Yordanis (IND),IND,PÉREZ RAMOS Alex Daniel (CFG),CFG,8,,LF,5 de Septiembre. Cienfuegos (CFG)
74,8/19/2019,RAMOS LA O Ricardo (SCU),SCU,CASTELLANO PÉREZ Harbin (SSP),SSP,3,,LF,José Antonio Huelga. Sancti Spiritus (SSP)
75,8/19/2019,GONZÁLEZ ASCUY Luis Antonio (CMG),CMG,ORIZ ABALLE Maracle Rubén (HOL),HOL,2,1B,LF,Cándido González. Camaguey (CMG)
76,8/19/2019,PEÑA CENTRAY Jorge Luis (HOL),HOL,COUSIN DE LA ROSA Yosimar (CMG),CMG,6,,LF,Cándido González. Camaguey (CMG)
77,8/20/2019,GONZÁLEZ VEGA Yasniel (MAY),MAY,MENA JÚSTIZ David (MTZ),MTZ,2,,RF,Tomás del Calvo. Quivicán (MAY)
78,8/20/2019,PACHECO ABREU Walter Orlando (VCL),VCL,SÁNCHEZ VERA Jorge Angel (GTM),GTM,2,,LF,Augusto César Sandino. Santa Clara (VCL)
79,8/20/2019,ZAMORA RGUEZ Duviel (VCL),VCL,MOREIRA RODRÍGUEZ Lander (GTM),GTM,4,,LF,9 de Abril. Sagua la Grande (VCL)
80,8/20/2019,DELGADO BUENO Robert Luis (GTM),GTM,LORENZO ALFONSO Lázaro Javier (VCL),VCL,9,,LF,9 de Abril. Sagua la Grande (VCL)
81,8/20/2019,CIVIL GONZÁLEZ Abdel (CAV),CAV,GONZÁLEZ MORENO Reilandy (PRI),PRI,4,,LF,Capitán San Luis. Pinar del Río (PRI)
82,8/20/2019,GÁLVEZ GUERRA Dainier (IJV),IJV,GUTIÉRREZ JIMÉNEZ Geonel (ART),ART,1,,LF,26 de Julio. Artemisa (ART)
83,8/20/2019,GÁLVEZ GUERRA Dainier (IJV),IJV,ORTIZ ALVAREZ Michel (ART),ART,4,,LF,26 de Julio. Artemisa (ART)
84,8/20/2019,RIVERA DESPAIGNE Luis Felipe (IJV),IJV,ORTIZ ALVAREZ Michel (ART),ART,4,,RF,26 de Julio. Artemisa (ART)
85,8/20/2019,GÁLVEZ GUERRA Dainier (IJV),IJV,SÁNCHEZ CUESTA Israel (ART),ART,7,1B-3B,LF,26 de Julio. Artemisa (ART)
86,8/21/2019,PEÑA CENTRAY Jorge Luis (HOL),HOL,ESPINOSA VIDAL Carlos L. (CMG),CMG,5,,LF,Cándido González. Camaguey (CMG)
87,8/21/2019,PEÑA CENTRAY Jorge Luis (HOL),HOL,ESPINOSA VIDAL Carlos L. (CMG),CMG,7,,LF,Cándido González. Camaguey (CMG)
88,8/21/2019,GONZÁLEZ ASCUY Luis Antonio (CMG),CMG,PAREDES CÉSPEDES Wilson (HOL),HOL,8,2B-3B,LF,Cándido González. Camaguey (CMG)
89,8/22/2019,COSME OLIVA Andy (ART),ART,QUINTANA LA GUARDIA Yulian (MAY),MAY,6,1B-2B,LF,26 de Julio. Artemisa (ART)
90,8/22/2019,BLANCO DÍAZ Eduardo (MTZ),MTZ,OZUNA HERNÁNDEZ José A. (CFG),CFG,8,,LF,Victoria de Girón. Matanzas (MTZ)
91,8/22/2019,SILVA LA O Edilse (SCU),SCU,MARTÍNEZ LORENZO Yairon (CAV),CAV,2,,LF,José Ramón Cepero. Ciego de Avila (CAV)
92,8/22/2019,PEÑA CENTRAY Jorge Luis (HOL),HOL,CRUZ RONDÓN Yoalkis (LTU),LTU,3,1B-2B,LF,Julio Antonio Mella. Las Tunas (LTU)
93,8/22/2019,AGUIAR HERNÁNDEZ Marnolki (HOL),HOL,CRUZ RONDÓN Yoalkis (LTU),LTU,4,,CF,Julio Antonio Mella. Las Tunas (LTU)
94,8/22/2019,JOHNSON DIXON Jorge Antonio (LTU),LTU,SÁNCHEZ THOPPE Rafael (HOL),HOL,8,,RF,Julio Antonio Mella. Las Tunas (LTU)
95,8/22/2019,SAMÓN MATAMOROS Yordanis (IND),IND,BLES MOYA Raciel (GTM),GTM,9,1B,LF,Nguyen Van Troi. Guantánamo (GTM)
96,8/22/2019,HECHAVARRÍA LORES Luis Jairon (GTM),GTM,GONZÁLEZ SÁNCHEZ Erick Cristhian (IND),IND,9,2B,CF,Nguyen Van Troi. Guantánamo (GTM)
97,8/23/2019,RODRÍGUEZ GARCÍA Félix (CFG),CFG,CRUZ SALDÍVAR Naykel Yoel (MTZ),MTZ,9,,CF,Victoria de Girón. Matanzas (MTZ)
98,8/23/2019,GONZÁLEZ ISIDORIA Raul (CAV),CAV,FONT MUSTELIER Carlos (SCU),SCU,1,2B,LF,José Ramón Cepero. Ciego de Avila (CAV)
99,8/23/2019,BENÍTEZ PÉREZ Carlos (GRA),GRA,CONTRERAS ESQUIVEL Juan S. (CMG),CMG,1,,LF,Mártires de Barbados. Bayamo (GRA)
100,8/23/2019,BENÍTEZ PÉREZ Carlos (GRA),GRA,CONTRERAS ESQUIVEL Juan S. (CMG),CMG,3,,LF,Mártires de Barbados. Bayamo (GRA)
101,8/23/2019,REVILLA LEYVA Pedro (GTM),GTM,NODAL SUÁREZ Elder (IND),IND,7,1B,LF,Nguyen Van Troi. Guantánamo (GTM)
102,8/24/2019,CARABEO MÉNDEZ Javier (MAY),MAY,PÉREZ FERNÁNDEZ Raymel (ART),ART,7,1B-2B-3B,LF,26 de Julio. Artemisa (ART)
103,8/24/2019,LÓPEZ ROJAS Juan Carlos (VCL),VCL,SILVA SILVA Luis A. (PRI),PRI,6,,RF,Augusto César Sandino. Santa Clara (VCL)
104,8/24/2019,SAAVEDRA VALDÉS William (PRI),PRI,MIRABAL ESPINOSA Javier (VCL),VCL,7,,LF,Augusto César Sandino. Santa Clara (VCL)
105,8/24/2019,CEPEDA CRUZ Frederich (SSP),SSP,MARTÍNEZ DÍAZ Maikel (IJV),IJV,1,1B,CF,José Antonio Huelga. Sancti Spiritus (SSP)
106,8/24/2019,CEPEDA CRUZ Frederich (SSP),SSP,LASTRA GONZÁLEZ Miguel Angel (IJV),IJV,5,1B-2B,CF,José Antonio Huelga. Sancti Spiritus (SSP)
107,8/24/2019,URGELLÉS GONZÁLEZ Leonardo (IJV),IJV,HERNÁNDEZ CRUZ Yoanni (SSP),SSP,8,,RF,José Antonio Huelga. Sancti Spiritus (SSP)
108,8/24/2019,AYALA GARCÍA Alexander (CMG),CMG,MOJENA MACHADO Joel (GRA),GRA,5,,LF,Mártires de Barbados. Bayamo (GRA)
109,8/24/2019,CREMET PLANA Over (GTM),GTM,BAÑOS CHACÓN Vladimir (IND),IND,4,2B,RF,Nguyen Van Troi. Guantánamo (GTM)
110,8/24/2019,CORREA SÁNCHEZ Lisbán (IND),IND,SÁNCHEZ VERA Jorge Angel (GTM),GTM,5,,LF,Nguyen Van Troi. Guantánamo (GTM)
111,8/24/2019,URGELLÉS COBAS Yoandry (IND),IND,AGUERO CASTILLO Pedro Enrique (GTM),GTM,8,2B,RF,Nguyen Van Troi. Guantánamo (GTM)
112,8/25/2019,QUESADA PEDROSO Pavel (CFG),CFG,CARRILLO SUÁREZ Elier (MTZ),MTZ,2,1B-2B,CF,Victoria de Girón. Matanzas (MTZ)
113,8/25/2019,CAMERO RODRÍGUEZ Javier (MTZ),MTZ,LA ROSA CAUSILLO Tomás (CFG),CFG,7,1B-2B,LF,Victoria de Girón. Matanzas (MTZ)
114,8/25/2019,MATEO TERRY Luis Vicente (CFG),CFG,DUEÑAS MORÉ Armando (MTZ),MTZ,9,,LF,Victoria de Girón. Matanzas (MTZ)
115,8/26/2019,MENDOZA ALFONSO Yunier (SSP),SSP,MARTÍNEZ PÉREZ Yadián (MAY),MAY,1,1B,RF,José Antonio Huelga. Sancti Spiritus (SSP)
116,8/26/2019,GONZÁLEZ VEGA Yasniel (MAY),MAY,PÉREZ HERNÁNDEZ Yamichel (SSP),SSP,7,,CF,José Antonio Huelga. Sancti Spiritus (SSP)
117,8/26/2019,CORREA SÁNCHEZ Lisbán (IND),IND,GARCÍA ANDÚJAR Ulfrido (SCU),SCU,2,,LF,Guillermón Moncada. Santiago de Cuba (SCU)
118,8/26/2019,REVILLA LEYVA Pedro (GTM),GTM,RODRÍGUEZ LEÓN Yudier (LTU),LTU,6,,RF,Nguyen Van Troi. Guantánamo (GTM)
119,8/26/2019,FADRAGA PÉREZ Alfredo (CAV),CAV,CASTRO IZQUIERDO Irandy Javier (MTZ),MTZ,5,1B,RF,José Ramón Cepero. Ciego de Avila (CAV)
120,8/26/2019,GONZÁLEZ ISIDORIA Raul (CAV),CAV,ESTRADA IDUARTE Alejandro (MTZ),MTZ,5,1B-3B,LF,José Ramón Cepero. Ciego de Avila (CAV)
121,8/27/2019,RODRÍGUEZ CANDANO Pedro Luis (PRI),PRI,COUSIN DE LA ROSA Yosimar (CMG),CMG,5,,LF,Central Brasil. Esmeralda (CMG)
122,8/27/2019,BLANCO HERNÁNDEZ Lázaro Emilio (PRI),PRI,MADAN MONTEJO Frank (CMG),CMG,1,,RF,Cándido González. Camaguey (CMG)
123,8/27/2019,RODRÍGUEZ CANDANO Pedro Luis (PRI),PRI,MADAN MONTEJO Frank (CMG),CMG,7,,LF,Cándido González. Camaguey (CMG)
124,8/27/2019,GÁLVEZ GUERRA Dainier (IJV),IJV,INSUA MORFA Yasmany (CFG),CFG,1,,LF,Dionisio Molina. Central Antonio Sánchez. Aguada de Pasajeros (CFG)
125,8/27/2019,SORIANO GARCÍA Juan Miguel (CFG),CFG,CARBO CAMPOALEGRE Jonathan (IJV),IJV,4,,LF,Dionisio Molina. Central Antonio Sánchez. Aguada de Pasajeros (CFG)
126,8/27/2019,SORIANO GARCÍA Juan Miguel (CFG),CFG,CARBO CAMPOALEGRE Jonathan (IJV),IJV,5,2B-3B,RF,Dionisio Molina. Central Antonio Sánchez. Aguada de Pasajeros (CFG)
127,8/27/2019,IBARRA ARAQUE Yunior (SSP),SSP,CRUZ SERRANOS Mailon (MAY),MAY,2,,LF,Genaro Melero. Jatibonico (SSP)
128,8/27/2019,CEPEDA CRUZ Frederich (SSP),SSP,CRUZ SERRANOS Mailon (MAY),MAY,2,1B-3B,LF,Genaro Melero. Jatibonico (SSP)
129,8/27/2019,MARTÍNEZ RODRÍGUEZ Jeison (MAY),MAY,BRAÑA ROJAS José Luis (SSP),SSP,7,,LF,Genaro Melero. Jatibonico (SSP)
130,8/27/2019,ARRUEBARUENA ESCALANTE Bárbaro Erisbe (MTZ),MTZ,MARTÍNEZ LORENZO Yairon (CAV),CAV,6,,RF,Paquito Espinosa. Morón (CAV)
