Evento,Fecha,Jg,Eqp,Jc,Re,C,H,E,Vs,Jc,Re,C,H,E,Estadio,Hora,Duc.,inn
59SN Cl,2019-08-10,1,PRI,HC,G,4,8,2,GRA,VS,P,0,7,2,Capitán San Luis,14:00,2:40,8
59SN Cl,2019-08-10,2,MTZ,VS,G,5,9,1,IJV,HC,P,1,3,2,Cristobal Labra,14:00,2:52,9
59SN Cl,2019-08-10,3,CAV,VS,G,10,12,0,IND,HC,P,6,11,7,Latinoamericano,14:00,3:38,9
59SN Cl,2019-08-10,4,CMG,VS,G,7,15,1,MAY,HC,P,6,11,0,Nelsón Fernández,14:00,3:48,9
59SN Cl,2019-08-10,5,CFG,HC,G,3,5,2,ART,VS,P,2,9,0,5 de Septiembre,14:00,2:50,9
59SN Cl,2019-08-10,8,SCU,HC,G,15,15,1,GTM,VS,P,0,4,1,Guillermón Moncada,14:00,2:10,5
59SN Cl,2019-08-10,6,VCL,VS,G,9,13,2,LTU,HC,P,1,7,0,Julio Antonio Mella,19:15,3:00,9
59SN Cl,2019-08-10,7,HOL,HC,G,4,7,0,SSP,VS,P,0,5,2,Calixto García Iñiguez,19:15,2:23,9
59SN Cl,2019-08-11,9,PRI,HC,G,1,10,0,GRA,VS,P,0,4,1,Capitán San Luis,14:00,2:45,9
59SN Cl,2019-08-11,10,IJV,HC,G,2,8,0,MTZ,VS,P,0,1,0,Cristobal Labra,14:00,2:54,9
59SN Cl,2019-08-11,11,IND,HC,G,13,15,2,CAV,VS,P,10,16,3,Latinoamericano,14:00,4:56,9
59SN Cl,2019-08-11,12,CMG,VS,G,5,7,1,MAY,HC,P,1,4,1,Nelsón Fernández,14:00,3:00,9
59SN Cl,2019-08-11,13,CFG,HC,G,13,12,1,ART,VS,P,0,3,2,5 de Septiembre,14:00,2:35,7
59SN Cl,2019-08-11,14,LTU,HC,G,5,10,1,VCL,VS,P,0,3,0,Julio Antonio Mella,14:00,2:45,9
59SN Cl,2019-08-11,15,SSP,VS,G,7,10,1,HOL,HC,P,4,12,1,Calixto García  Iñiguez,14:00,4:10,10
59SN Cl,2019-08-11,16,SCU,HC,G,5,9,1,GTM,VS,P,0,6,1,Guillermóm Moncada,14:00,3:00,9
59SN Cl,2019-08-12,17,GRA,VS,G,6,7,0,PRI,HC,P,5,15,1,Capitán San Luis,14:00,3:25,9
59SN Cl,2019-08-12,18,IJV,HC,G,13,15,1,MTZ,VS,P,4,7,3,Cristobal Labra,14:00,2:55,9
59SN Cl,2019-08-12,19,IND,HC,G,13,13,1,CAV,VS,P,3,11,2,Latinoamericano,14:00,3:37,8
59SN Cl,2019-08-12,20,CMG,VS,G,9,17,0,MAY,HC,P,2,6,1,Nelsón Fernández,14:00,2:56,9
59SN Cl,2019-08-12,21,ART,VS,G,8,12,1,CFG,HC,P,6,10,1,5 de Septiembre,14:00,3:35,9
59SN Cl,2019-08-12,22,LTU,HC,G,5,12,3,VCL,VS,P,3,8,0,Julio Antonio Mella,14:00,3:20,9
59SN Cl,2019-08-12,23,SSP,VS,G,9,11,3,HOL,HC,P,8,11,1,Calixto García  Iñiguez,14:00,4:40,11
59SN Cl,2019-08-12,24,SCU,HC,G,10,17,0,GTM,VS,P,0,4,0,Guillermóm Moncada,14:00,3:15,7
59SN Cl,2019-08-14,25,ART,VS,G,10,14,1,PRI,HC,P,0,7,1,Capitán San Luis,14:00,3:15,8
59SN Cl,2019-08-14,27,IND,HC,G,4,5,2,GRA,VS,P,3,7,4,Latinoamericano,14:00,4:02,9
59SN Cl,2019-08-14,30,SSP,HC,G,7,9,2,GTM,VS,P,4,10,1,José Antonio Huelga,14:00,3:20,9
59SN Cl,2019-08-14,31,VCL,VS,G,6,10,1,HOL,HC,P,5,9,1,Calixto García  Iñiguez,14:00,3:15,9
59SN Cl,2019-08-14,32,LTU,VS,G,17,24,2,SCU,HC,P,7,13,1,Guillermóm Moncada,14:00,3:15,8
59SN Cl,2019-08-15,29,MTZ,HC,G,17,17,1,CMG,VS,P,7,11,0,Victoria de Girón MTZ,10:00,3:15,8
59SN Cl,2019-08-15,34,IJV,HC,G,8,7,1,CAV,VS,P,4,7,1,Cristobal Labra,10:00,2:35,7
59SN Cl,2019-08-15,28,MAY,HC,G,10,17,2,CFG,VS,P,1,5,1,Héroes de Mayab. Guines,11:30,3::18,9
59SN Cl,2019-08-15,26,CAV,VS,G,4,10,0,IJV,HC,P,0,5,2,Cristobal Labra,13:45,2:15,7
59SN Cl,2019-08-15,36,CFG,VS,G,11,11,0,MAY,HC,P,0,4,0,Héroes de Mayab. Guines,13:45,2:00,5
59SN Cl,2019-08-15,37,CMG,VS,G,7,10,0,MTZ,HC,P,3,7,0,Victoria de Girón,13:45,2:42,7
59SN Cl,2019-08-15,33,PRI,HC,G,4,8,0,ART,VS,P,3,7,0,Pedro A. Quintana Guane,14:00,3:00,9
59SN Cl,2019-08-15,35,GRA,VS,G,8,11,1,IND,HC,P,6,12,3,Latinoamericano,14:00,3:50,9
59SN Cl,2019-08-15,38,SSP,HC,G,5,6,1,GTM,VS,P,2,7,1,Luis Torres Yaguajay,14:00,3:04,9
59SN Cl,2019-08-15,39,HOL,HC,G,10,11,0,VCL,VS,P,1,6,2,Calixto García Iñiguez,14:00,2:50,9
59SN Cl,2019-08-15,40,LTU,VS,G,4,10,0,SCU,HC,P,1,3,1,Guillermón Moncada,14:00,3:20,9
59SN Cl,2019-08-16,41,PRI,HC,G,9,12,3,ART,VS,P,6,8,4,Capitán San Luis,14:00,3::39,9
59SN Cl,2019-08-16,42,IJV,HC,G,3,8,2,CAV,VS,P,1,8,0,Cristobal Labra,14:00,3:15,9
59SN Cl,2019-08-16,44,CFG,VS,G,9,11,0,MAY,HC,P,4,6,1,Héroes de Mayab. Guines,14:00,3:20,9
59SN Cl,2019-08-16,46,GTM,VS,G,12,12,0,SSP,HC,P,2,7,2,José Antonio Huelga,14:00,3:00,7
59SN Cl,2019-08-16,47,VCL,VS,G,5,9,1,HOL,HC,P,3,11,0,Calixto García  Iñiguez,14:00,2:50,9
59SN Cl,2019-08-16,48,SCU,HC,G,2,7,0,LTU,VS,P,1,5,0,Guillermóm Moncada,14:00,3:05,9
59SN Cl,2019-08-18,49,PRI,HC,G,6,11,2,CAV,VS,P,5,10,1,Capitán San Luis,14:00,4:07,10
59SN Cl,2019-08-18,50,ART,HC,G,9,14,1,IJV,VS,P,4,8,1,26 de Julio Artemisa,14:00,3:00,9
59SN Cl,2019-08-18,51,MAY,HC,G,10,12,1,MTZ,VS,P,8,10,1,Nelsón Fernández,14:00,3:00,9
59SN Cl,2019-08-18,52,CFG,HC,G,8,12,0,IND,VS,P,1,2,0,5 de Septiembre,14:00,3:00,9
59SN Cl,2019-08-18,53,VCL,HC,G,4,6,1,GTM,VS,P,3,11,0,Augusto César Sandino,14:00,3:25,9
59SN Cl,2019-08-18,54,SSP,HC,G,6,10,3,SCU,VS,P,5,12,2,José Antonio Huelga,14:00,3:49,9
59SN Cl,2019-08-18,55,HOL,VS,G,5,11,2,CMG,HC,P,1,5,1,Candido González,14:00,2:43,9
59SN Cl,2019-08-19,64,GRA,VS,G,5,6,1,LTU,HC,P,2,8,1,Carlos Gaspar Zaldivar,10:00,2:21,7
59SN Cl,2019-08-19,56,GRA,VS,G,2,7,0,LTU,HC,P,1,8,0,Julio Antonio Mella,13:45,2:45,7
59SN Cl,2019-08-19,57,CAV,VS,G,7,18,1,PRI,HC,P,3,7,0,Capitán San Luis,14:00,2:58,9
59SN Cl,2019-08-19,58,IJV,VS,G,7,9,0,ART,HC,P,4,8,3,Combate de Rio Hondo ART,14:00,2:45,7
59SN Cl,2019-08-19,60,IND,VS,G,6,14,0,CFG,HC,P,4,11,0,5 de Septiembre,14:00,3:55,9
59SN Cl,2019-08-19,62,SSP,HC,G,9,11,0,SCU,VS,P,2,13,3,José Antonio Huelga,14:00,3:28,9
59SN Cl,2019-08-19,63,CMG,HC,G,4,8,0,HOL,VS,P,1,5,0,Candido González,19:15,3:13,9
59SN Cl,2019-08-20,59,MTZ,VS,G,10,16,0,MAY,HC,P,3,13,1,Tamás Calvo Quivicán MAY,10:00,4:06,9
59SN Cl,2019-08-20,69,VCL,HC,G,3,9,0,GTM,VS,P,0,0,0,Augusto César Sandino,10:00,2:10,7
59SN Cl,2019-08-20,61,VCL,HC,G,5,9,0,GTM,VS,P,3,9,1,9 de Abril Sagua la Grande VCL ,13:45,3:00,9
59SN Cl,2019-08-20,67,MAY,HC,G,5,7,0,MTZ,VS,P,1,9,1,Nelsón Fernández,13:45,2:45,7
59SN Cl,2019-08-20,65,CAV,VS,G,6,15,1,PRI,HC,P,4,12,1,Capitán San Luis,14:00,3:15,9
59SN Cl,2019-08-20,66,IJV,VS,G,11,17,0,ART,HC,P,5,9,2,26 de Julio Artemisa,14:00,3:00,9
59SN Cl,2019-08-20,68,CFG,HC,G,6,7,0,IND,VS,P,4,7,1,5 de Septiembre,14:00,3:00,9
59SN Cl,2019-08-20,70,SSP,HC,G,5,8,0,SCU,VS,P,0,5,2,José Antonio Huelga,14:00,2:23,9
59SN Cl,2019-08-20,72,LTU,HC,G,7,13,1,GRA,VS,P,2,11,1,Julio Antonio Mella,14:00,3:00,9
59SN Cl,2019-08-21,71,CMG,HC,G,7,9,3,HOL,VS,P,5,9,1,Candido González,10:00,3:12,9
59SN Cl,2019-08-22,73,ART,HC,G,9,11,2,MAY,VS,P,3,9,0,26 de Julio Artemisa,14:00,3:00,9
59SN Cl,2019-08-22,74,MTZ,HC,G,4,13,0,CFG,VS,P,2,7,0,Victoria de Girón MTZ,14:00,2:30,9
59SN Cl,2019-08-22,75,PRI,VS,G,3,7,1,VCL,HC,P,2,5,1,Augusto César Sandino,14:00,3:15,10
59SN Cl,2019-08-22,76,SSP,HC,G,3,9,0,IJV,VS,P,1,7,0,José Antonio Huelga,14:00,3:24,9
59SN Cl,2019-08-22,77,CAV,HC,G,4,12,1,SCU,VS,P,3,10,1,José Ramóm Cepero,14:00,3:00,9
59SN Cl,2019-08-22,78,LTU,HC,G,5,7,0,HOL,VS,P,4,8,1,Julio Antonio Mella,14:00,3:00,9
59SN Cl,2019-08-22,79,GRA,HC,G,10,15,2,CMG,VS,P,7,13,2,Mártirez de Barbados,14:00,2:45,9
59SN Cl,2019-08-22,80,IND,VS,G,9,16,1,GTM,HC,P,4,8,3,Nguyen Van Troy,14:00,3:57,9
59SN Cl,2019-08-23,81,ART,HC,G,13,11,2,MAY,VS,P,5,7,2,26 de Julio Artemisa,14:00,3:00,9
59SN Cl,2019-08-23,82,MTZ,HC,G,10,8,1,CFG,VS,P,6,8,1,Victoria de Girón MTZ,14:00,3:16,9
59SN Cl,2019-08-23,83,VCL,HC,G,4,8,2,PRI,VS,P,3,5,0,Augusto César Sandino,14:00,2:55,9
59SN Cl,2019-08-23,84,SSP,HC,G,8,11,0,IJV,VS,P,7,13,0,Fidel Claro Fomento,14:00,3:27,9
59SN Cl,2019-08-23,85,SCU,VS,G,8,11,2,CAV,HC,P,6,8,2,José Ramóm Cepero,14:00,4:00,9
59SN Cl,2019-08-23,86,LTU,HC,G,2,5,0,HOL,VS,P,0,4,0,Batalla de Palo Seco Jobabo LTU,14:00,3:00,9
59SN Cl,2019-08-23,87,CMG,VS,G,4,9,0,GRA,HC,P,2,3,2,Mártirez de Barbados,14:00,2:15,6
59SN Cl,2019-08-23,88,GTM,HC,G,11,16,2,IND,VS,P,6,12,2,Nguyen Van Troy,14:00,4:26,9
59SN Cl,2019-08-24,89,MAY,VS,G,7,14,4,ART,HC,P,6,8,3,26 de Julio Artemisa,14:00,3:50,9
59SN Cl,2019-08-24,91,VCL,HC,G,6,8,2,PRI,VS,P,2,5,0,Augusto César Sandino,14:00,2:05,8
59SN Cl,2019-08-24,92,IJV,VS,G,15,17,1,SSP,HC,P,10,12,5,José Antonio Huelga,14:00,4:06,9
59SN Cl,2019-08-24,93,CAV,HC,G,4,7,0,SCU,VS,P,1,8,0,José Ramóm Cepero,14:00,2:48,9
59SN Cl,2019-08-24,95,CMG,VS,G,6,6,0,GRA,HC,P,0,6,2,Mártirez de Barbados,14:00,2:00,6
59SN Cl,2019-08-24,96,IND,VS,G,8,12,0,GTM,HC,P,3,8,2,Nguyen Van Troy,14:00,3:47,9
59SN Cl,2019-08-25,90,CFG,VS,G,16,11,0,MTZ,HC,P,14,16,2,Victoria de Girón MTZ,10:00,4:15,10
59SN Cl,2019-08-26,97,CFG,HC,G,7,11,1,IJV,VS,P,3,8,0,5 de Septiembre,14:00,2:47,9
59SN Cl,2019-08-26,99,SSP,HC,G,3,10,1,MAY,VS,P,2,10,0,José Antonio Huelga,14:00,2:36,9
59SN Cl,2019-08-26,102,HOL,VS,G,10,11,0,GRA,HC,P,0,3,2,Mártirez de Barbados,14:00,2:40,8
59SN Cl,2019-08-26,103,SCU,HC,G,6,8,0,IND,VS,P,1,6,1,Guillermóm Moncada,14:00,3:35,9
59SN Cl,2019-08-26,104,LTU,VS,G,8,13,1,GTM,HC,P,4,9,4,Nguyen Van Troy,14:00,2:24,9
59SN Cl,2019-08-26,100,CAV,HC,G,12,12,1,MTZ,VS,P,1,4,0,José Ramóm Cepero,14:00,2:36,7
59SN Cl,2019-08-27,98,ART,Vs,G,4,5,2,VCL,HC,P,1,6,1,Augusto César Sandino,10:00,3:15,11
59SN Cl,2019-08-27,109,PRI,VS,G,2,4,0,CMG,HC,P,1,6,1,Central Brasil Esmeralda CMG,10:00,2:27,7
59SN Cl,2019-08-27,101,CMG,HC,G,6,8,1,PRI,VS,P,2,4,4,Candido González,13:45,2:13,7
59SN Cl,2019-08-27,106,ART,VS,G,7,10,0,VCL,HC,P,4,11,1,Augusto César Sandino,13:45,3:00,7
59SN Cl,2019-08-27,105,CFG,HC,G,7,13,0,IJV,VS,P,3,9,0,Dionicio Molina Cet. Antonio Sánchez CFG,14:00,3:08,9
59SN Cl,2019-08-27,107,SSP,HC,G,12,17,1,MAY,VS,P,7,10,0,Genaro Melero Jativonico SSP,14:00,3:40,9
59SN Cl,2019-08-27,108,MTZ,VS,G,6,11,0,CAV,HC,P,3,10,1,Paquito Espinosa Morón CAV,14:00,4:00,9
59SN Cl,2019-08-27,110,GRA,HC,G,9,10,2,HOL,VS,P,8,12,1,17 de Noviembre Buey Arriba GRA,14:00,4:00,11
59SN Cl,2019-08-27,111,SCU,HC,G,8,17,1,IND,VS,P,2,9,1,Guillermóm Moncada,14:00,3:25,9
59SN Cl,2019-08-27,112,GTM,HC,G,9,9,2,LTU,VS,P,6,11,1,Nguyen Van Troy,14:00,3:20,9
59SN Cl,2019-08-28,113,CFG,HC,G,4,10,0,IJV,VS,P,3,6,0,5 de Septiembre,14:00,3:00,10
59SN Cl,2019-08-28,115,SSP,HC,G,5,12,1,MAY,VS,P,3,9,0,José Antonio Huelga,14:00,2:49,9
59SN Cl,2019-08-28,118,GRA,HC,G,10,12,0,HOL,VS,P,2,3,1,Mártirez de Barbados,14:00,3:03,9
59SN Cl,2019-08-28,119,SCU,HC,G,3,9,1,IND,VS,P,0,3,0,Guillermóm Moncada,14:00,3:25,8
59SN Cl,2019-08-28,120,GTM,HC,G,6,7,1,LTU,VS,P,4,11,3,Nguyen Van Troy,14:00,3:00,9
59SN Cl,2019-08-28,116,MTZ,VS,G,10,13,0,CAV,HC,P,4,8,1,José Ramóm Cepero,19:15,4:40,9
59SN Cl,2019-08-28,117,PRI,VS,G,14,13,3,CMG,HC,P,2,8,4,Candido González,19:15,3:11,8
59SN Cl,2019-08-30,121,SSP,HC,G,5,10,0,ART,VS,P,0,4,0,José Antonio Huelga,14:00,2:30,9
59SN Cl,2019-08-30,122,CAV,HC,G,9,15,1,VCL,VS,P,4,5,1,José Ramóm Cepero,14:00,2:45,8
59SN Cl,2019-08-30,124,IND,VS,G,7,12,0,LTU,HC,P,3,10,0,Julio Antonio Mella,14:00,3:45,9
59SN Cl,2019-08-30,125,HOL,HC,G,8,13,0,PRI,VS,P,4,7,2,Calixto García  Iñiguez,14:00,2:37,9
59SN Cl,2019-08-30,126,MTZ,VS,G,12,16,0,GRA,HC,P,1,7,2,Mártirez de Barbados,14:00,2:30,7
59SN Cl,2019-08-30,127,SCU,HC,G,8,12,2,MAY,VS,P,1,5,3,Guillermóm Moncada,14:00,3:25,9
59SN Cl,2019-08-30,128,CFG,VS,G,8,13,1,GTM,HC,P,5,9,4,Nguyen Van Troy,14:00,3:20,9
59SN Cl,2019-08-30,123,IJV,VS,G,12,11,3,CMG,HC,P,7,18,5,Candido González,19:15,4:09,9
59SN Cl,2019-08-31,129,SSP,HC,G,11,15,0,ART,VS,P,5,11,2,José Antonio Huelga,14:00,3:30,9
59SN Cl,2019-08-31,132,LTU,HC,G,8,11,0,IND,VS,P,2,7,0,Julio Antonio Mella,14:00,3:10,9
59SN Cl,2019-08-31,133,PRI,VS,G,13,15,0,HOL,HC,P,3,14,0,Calixto García  Iñiguez,14:00,3:00,7
59SN Cl,2019-08-31,134,MTZ,VS,G,5,11,0,GRA,HC,P,3,10,2,Enidio Díaz Machado Campechuela GRA,14:00,3:15,9
59SN Cl,2019-08-31,135,SCU,HC,G,14,16,6,MAY,VS,P,8,10,2,Central Dos Rios Palma Soriano SCU,14:00,3:50,9
59SN Cl,2019-08-31,136,CFG,VS,G,16,20,0,GTM,HC,P,6,11,0,Amado Romero Noa Imías GTM ,14:00,3:13,7
59SN Cl,2019-08-31,131,IJV,VS,G,7,10,1,CMG,HC,P,4,8,4,Candido González,19:15,4:10,9
59SN Cl,2019-09-01,138,CAV,HC,G,11,13,0,VCL,VS,P,1,8,2,José Ramóm Cepero,10:00,2:.05,6
59SN Cl,2019-09-01,137,SSP,HC,G,6,10,1,ART,VS,P,5,11,4,José Antonio Huelga,14:00,3:23,9
59SN Cl,2019-09-01,139,CMG,HC,G,3,8,0,IJV,VS,P,1,7,2,Candido González,14:00,3:44,9
59SN Cl,2019-09-01,140,IND,VS,G,11,15,0,LTU,HC,P,3,6,0,Julio Antonio Mella,14:00,4:15,9
59SN Cl,2019-09-01,141,HOL,HC,G,12,14,4,PRI,VS,P,5,7,0,Calixto García  Iñiguez,14:00,3:27,9
59SN Cl,2019-09-01,142,MTZ,VS,G,12,17,2,GRA,HC,P,2,4,0,Mártirez de Barbados,14:00,2:40,8
59SN Cl,2019-09-01,143,SCU,HC,G,11,11,0,MAY,VS,P,0,4,0,Guillermóm Moncada,14:00,3:45,7
59SN Cl,2019-09-01,144,CFG,VS,G,12,15,3,GTM,HC,P,2,8,4,Nguyen Van Troy,14:00,3:10,9
59SN Cl,2019-09-01,130,CAV,HC,G,7,10,3,VCL,VS,P,5,8,0,José Ramóm Cepero,16:00,2:47,7
59SN Cl,2019-09-03,145,IJV,HC,G,6,8,0,VCL,VS,P,1,6,1,Cristobal Labra,14:00,3:09,9
59SN Cl,2019-09-03,146,SSP,VS,G,5,6,2,IND,HC,P,3,7,1,Latinoamericano,14:00,3:17,9
59SN Cl,2019-09-03,147,CMG,HC,G,5,8,3,ART,VS,P,3,4,0,Candido González,14:00,3:20,9
59SN Cl,2019-09-03,148,LTU,HC,G,3,7,0,PRI,VS,P,2,5,1,Julio Antonio Mella,14:00,2:47,9
59SN Cl,2019-09-03,149,CAV,VS,G,8,11,3,HOL,HC,P,2,7,4,Calixto García  Iñiguez,14:00,3:44,9
59SN Cl,2019-09-03,150,GRA,HC,G,3,7,0,MAY,VS,P,2,8,3,Mártirez de Barbados,14:00,3:23,9
59SN Cl,2019-09-03,151,SCU,HC,G,9,12,0,CFG,VS,P,6,12,1,Guillermóm Moncada,14:00,3:50,9
59SN Cl,2019-09-03,152,MTZ,VS,G,2,14,1,GTM,HC,P,0,7,0,Nguyen Van Troy,14:00,3:32,9
59SN Cl,2019-09-04,153,IJV,HC,G,7,8,1,VCL,VS,P,2,9,2,Cristobal Labra,14:00,3:23,9
59SN Cl,2019-09-04,156,PRI,VS,G,9,13,1,LTU,HC,P,7,11,0,Roberto Ferrales Amancio LTU,14:00,3:30,9
59SN Cl,2019-09-04,158,GRA,HC,G,9,9,1,MAY,VS,P,2,3,2,10 de Octubre Yara GRA,14:00,2:45,9
59SN Cl,2019-09-04,160,MTZ,VS,G,12,18,0,GTM,HC,P,3,11,2,Central Costa Rica EL Salvador GTM,14:00,2:51,9
59SN Cl,2019-09-05,155,CMG,HC,G,9,12,1,ART,VS,P,5,12,3,Candido González,10:00,3:10,9
59SN Cl,2019-09-05,157,CAV,VS,G,14,15,1,HOL,HC,P,9,10,2,Calixto García  Iñiguez,10:00,4:15,9
59SN Cl,2019-09-05,159,CFG,VS,G,8,10,0,SCU,HC,P,4,10,0,Guillermóm Moncada,10:00,3:00,9
59SN Cl,2019-09-05,162,IND,HC,G,6,6,1,SSP,VS,P,0,1,0,Latinoamericano,10:00,2:03,7
59SN Cl,2019-09-05,154,IND,HC,G,9,14,3,SSP,VS,P,6,8,0,Latinoamericano,13:30,3:10,7
59SN Cl,2019-09-05,163,ART,VS,G,6,9,0,CMG,HC,P,2,7,2,Candido González,13:30,2:30,7
59SN Cl,2019-09-05,167,CFG,VS,G,12,17,1,SCU,HC,P,5,8,2,Guillermóm Moncada,13:30,2:05,7
59SN Cl,2019-09-05,161,IJV,HC,G,7,10,1,VCL,VS,P,6,13,1,Cristobal Labra,14:00,3:18,9
59SN Cl,2019-09-05,164,LTU,HC,G,8,13,0,PRI,VS,P,2,10,0,Julio Antonio Mella,14:00,3:30,9
59SN Cl,2019-09-05,165,HOL,HC,G,4,11,0,CAV,VS,P,3,7,1,Calixto García  Iñiguez,14:00,2:09,7
59SN Cl,2019-09-05,166,GRA,HC,G,7,13,0,MAY,VS,P,4,10,2,Mártirez de Barbados,14:00,2:46,9
59SN Cl,2019-09-05,168,MTZ,VS,G,13,9,0,GTM,HC,P,0,5,1,Nguyen Van Troy,14:00,3:10,9
59SN Cl,2019-09-07,170,SCU,VS,G,5,4,1,IJV,HC,P,3,7,1,Cristobal Labra,14:00,3:40,9
59SN Cl,2019-09-07,171,IND,HC,G,6,8,0,MTZ,VS,P,4,5,1,Latinoamericano,14:00,3:34,9
59SN Cl,2019-09-07,172,MAY,HC,G,3,8,0,VCL,VS,P,0,7,1,Nelsón Fernández,14:00,3:00,9
59SN Cl,2019-09-07,173,LTU,VS,G,9,17,0,CFG,HC,P,3,12,1,5 de Septiembre,14:00,3:30,9
59SN Cl,2019-09-07,174,GRA,VS,G,5,8,0,SSP,HC,P,1,10,2,José Antonio Huelga,14:00,3:11,9
