Evento,Fecha,Jg,Eqp,Jc,Re,C,H,E,Vs,Jc,Re,C,H,E,Estadio,Hora,Duc.,inn
59SN Cl,2019-09-07,175,CMG,HC,G,6,11,0,CAV,VS,P,5,12,1,Candido González,14:00,4:00,9
59SN Cl,2019-09-07,176,HOL,HC,G,4,10,0,ART,VS,P,3,9,1,Calixto García  Iñiguez,14:00,3:23,9
59SN Cl,2019-09-08,177,PRI,HC,G,3,9,2,GTM,VS,P,2,5,1,Capitán San Luis,10:00,2:35,7
59SN Cl,2019-09-08,169,PRI,HC,G,5,11,1,GTM,VS,P,1,5,1,Capitán San Luis,13:30,2:30,7
59SN Cl,2019-09-08,178,SCU,VS,G,6,12,0,IJV,HC,P,3,11,0,Cristobal Labra,14:00,3:13,9
59SN Cl,2019-09-08,179,IND,HC,G,4,11,2,MTZ,VS,P,3,7,0,Latinoamericano,14:00,3:47,9
59SN Cl,2019-09-08,180,VCL,VS,G,15,19,0,MAY,HC,P,5,13,0,Adelfo Hernández Nueva Paz MAY,14:00,3:09,7
59SN Cl,2019-09-08,181,LTU,VS,G,14,17,1,CFG,HC,P,6,11,5,5 de Septiembre,14:00,3:30,9
59SN Cl,2019-09-08,182,GRA,VS,G,10,17,0,SSP,HC,P,8,11,3,Rolando Rodríguez Trinidad SSP,14:00,4:50,12
59SN Cl,2019-09-08,183,CMG,HC,G,11,15,1,CAV,VS,P,6,11,2,Candido González,14:00,3:53,9
59SN Cl,2019-09-08,184,ART,VS,G,4,8,1,HOL,HC,P,1,5,0,José Abreu Sagua de Tánamo HOL,14:00,1:54,6
59SN Cl,2019-09-09,185,PRI,HC,G,3,7,0,GTM,VS,P,0,5,2,Capitán San Luis,14:00,2:26,9
59SN Cl,2019-09-09,186,SCU,VS,G,5,9,1,IJV,HC,P,1,5,2,Cristobal Labra,14:00,3:08,9
59SN Cl,2019-09-09,187,MTZ,VS,G,11,15,0,IND,HC,P,7,12,0,Latinoamericano,14:00,3:10,9
59SN Cl,2019-09-09,188,VCL,VS,G,11,14,1,MAY,HC,P,9,13,3,Nelsón Fernández,14:00,4:31,11
59SN Cl,2019-09-09,189,CFG,HC,G,10,11,1,LTU,VS,P,6,9,0,5 de Septiembre,14:00,3:25,9
59SN Cl,2019-09-09,191,CMG,HC,G,8,10,0,CAV,VS,P,4,7,3,Candido González,14:00,3:05,9
59SN Cl,2019-09-09,192,ART,VS,G,7,10,1,HOL,HC,P,1,7,1,Calixto García  Iñiguez,14:00,3:30,9
59SN Cl,2019-09-10,190,SSP,HC,G,12,15,0,GRA,VS,P,1,5,4,José Antonio Huelga,10:00,2:36,7
59SN Cl,2019-09-11,193,SCU,VS,G,8,15,1,PRI,HC,P,2,8,0,Capitán San Luis,14:00,3:10,9
59SN Cl,2019-09-11,194,LTU,VS,G,4,14,1,ART,HC,P,2,14,1,26 de Julio Artemisa,14:00,2:43,9
59SN Cl,2019-09-11,195,IJV,HC,G,5,12,0,GTM,VS,P,4,8,1,Cristobal Labra,14:00,3:30,10
59SN Cl,2019-09-11,196,IND,HC,G,1,4,1,CMG,VS,P,0,5,2,Latinoamericano,14:00,3:00,9
59SN Cl,2019-09-11,197,MAY,HC,G,5,8,0,CAV,VS,P,1,7,1,Héroes de Mayabeque  Guines MAY,14:00,3:00,9
59SN Cl,2019-09-11,198,MTZ,HC,G,13,17,2,SSP,VS,P,9,15,1,Victoria de Girón MTZ,14:00,2:30,9
59SN Cl,2019-09-11,199,GRA,VS,G,10,15,2,VCL,HC,P,2,9,0,Augusto César Sandino,14:00,3:00,9
59SN Cl,2019-09-11,200,CFG,VS,G,6,15,1,HOL,HC,P,2,11,1,Calixto García  Iñiguez,14:00,3:07,9
59SN Cl,2019-09-12,201,PRI,HC,G,5,9,0,SCU,VS,P,3,11,2,Capitán San Luis,14:00,3:00,9
59SN Cl,2019-09-12,202,LTU,VS,G,10,15,1,ART,HC,P,7,11,2,Tricntinental Guira de Melena ART,14:00,3:00,9
59SN Cl,2019-09-12,203,IJV,HC,G,6,10,1,GTM,VS,P,4,9,1,Cristobal Labra,14:00,3:40,9
59SN Cl,2019-09-12,204,CMG,VS,G,6,12,0,IND,HC,P,3,8,0,Latinoamericano,14:00,3:17,9
59SN Cl,2019-09-12,205,MAY,HC,G,12,12,0,CAV,VS,P,2,7,1,Héroes de Mayabeque  Guines MAY,14:00,2:42,7
59SN Cl,2019-09-12,206,MTZ,HC,G,10,11,0,SSP,VS,P,0,5,3,Victoria de Girón MTZ,14:00,2:22,7
59SN Cl,2019-09-12,207,VCL,HC,G,8,14,0,GRA,VS,P,2,11,1,Augusto César Sandino,14:00,2:55,9
59SN Cl,2019-09-13,208,HOL,HC,G,6,11,0,CFG,VS,P,4,10,2,Calixto García  Iñiguez,10:00,3:12,9
59SN Cl,2019-09-13,216,CFG,VS,G,12,15,1,HOL,HC,P,2,6,3,Calixto García  Iñiguez,13:45,2:33,5
59SN Cl,2019-09-13,209,SCU,VS,G,1,8,0,PRI,HC,P,0,9,2,Capitán San Luis,14:00,3:11,9
59SN Cl,2019-09-13,211,IJV,HC,G,3,10,0,GTM,VS,P,0,6,2,Cristobal Labra,14:00,3:09,9
59SN Cl,2019-09-13,212,CMG,VS,G,5,7,1,IND,HC,P,3,9,0,Latinoamericano,14:00,3:25,9
59SN Cl,2019-09-13,213,CAV,VS,G,13,21,0,MAY,HC,P,3,10,1,Héroes de Mayabeque  Guines MAY,14:00,4:10,9
59SN Cl,2019-09-13,214,MTZ,HC,G,4,9,0,SSP,VS,P,3,9,0,Victoria de Girón MTZ,14:00,3:00,9
59SN Cl,2019-09-13,215,VCL,HC,G,5,9,1,GRA,VS,P,0,4,2,Augusto César Sandino,14:00,2:40,9
59SN Cl,2019-09-14,210,ART,HC,G,2,7,3,LTU,VS,P,1,5,1,26 de Julio Artemisa,10:00,2:40,9
59SN Cl,2019-09-15,217,GTM,VS,G,5,11,3,ART,HC,P,4,6,0,26 de Julio Artemisa,14:00,3:40,9
59SN Cl,2019-09-15,218,PRI,VS,G,10,14,3,IND,HC,P,3,8,1,Latinoamericano,14:00,3:01,9
59SN Cl,2019-09-15,219,HOL,VS,G,7,15,0,MAY,HC,P,2,5,0,Nelsón Fernández,14:00,2:51,9
59SN Cl,2019-09-15,220,LTU,VS,G,12,13,3,MTZ,HC,P,4,10,2,Victoria de Girón MTZ,14:00,3:27,9
59SN Cl,2019-09-15,221,CMG,VS,G,9,14,0,CFG,HC,P,6,12,0,5 de Septiembre,14:00,3:45,9
59SN Cl,2019-09-15,222,SCU,VS,G,8,11,1,VCL,HC,P,3,5,0,Augusto César Sandino,14:00,3:00,9
59SN Cl,2019-09-15,223,SSP,VS,G,15,13,0,CAV,HC,P,5,10,2,José Ramóm Cepero,14:00,3:25,8
59SN Cl,2019-09-15,224,GRA,HC,G,4,10,0,IJV,VS,P,1,4,2,MártIrez de Barbados,14:00,3:03,9
59SN Cl,2019-09-16,225,ART,HC,G,5,7,2,GTM,VS,P,1,4,2,26 de Julio Artemisa,14:00,3:00,9
59SN Cl,2019-09-16,226,IND,HC,G,9,10,1,PRI,VS,P,8,14,2,Latinoamericano,14:00,3:36,9
59SN Cl,2019-09-16,227,MAYHC,G,7,14,0,HOL,VS,P,2,9,1,Nelsón Fernández,14:00,3:00,9
59SN Cl,2019-09-16,228,LTU,VS,G,4,7,0,MTZ,HC,P,1,4,2,19 de Abril Jaguey Grande MAT,14:00,2:30,9
59SN Cl,2019-09-16,229,CMG,VS,G,5,6,1,CFG,HC,P,3,11,2,5 de Septiembre,14:00,3:30,9
59SN Cl,2019-09-16,230,SCU,VS,G,7,12,0,VCL,HC,P,1,7,0,Augusto César Sandino,14:00,3:00,9
59SN Cl,2019-09-16,231,SSP,VS,G,7,9,0,CAV,HC,P,3,13,1,José Ramóm Cepero,14:00,4:16,10
59SN Cl,2019-09-16,232,GRA,HC,G,8,14,2,IJV,VS,P,5,9,0,MártIrez de Barbados,14:00,3:55,9
59SN Cl,2019-09-17,233,ART,HC,G,2,6,1,GTM,VS,P,1,7,1,26 de Julio Artemisa,14:00,3:15,9
59SN Cl,2019-09-17,234,IND,HC,G,8,13,1,PRI,VS,P,2,6,0,Latinoamericano,14:00,3:06,9
59SN Cl,2019-09-17,235,MAY,HC,G,3,9,0,HOL,VS,P,2,10,1,Nelsón Fernández,14:00,3:14,9
59SN Cl,2019-09-17,236,MTZ,HC,G,12,12,0,LTU,VS,P,0,1,1,Victoria de Girón MTZ,14:00,2:30,7
59SN Cl,2019-09-17,237,CMG,VS,G,9,12,0,CFG,HC,P,4,7,2,5 de Septiembre,14:00,3:25,9
59SN Cl,2019-09-17,238,SCU,VS,G,3,6,1,VCL,HC,P,1,5,2,Augusto César Sandino,14:00,2:50,9
59SN Cl,2019-09-17,239,SSP,VS,G,6,9,0,CAV,HC,P,5,7,1,José Ramóm Cepero,14:00,3:20,9
59SN Cl,2019-09-17,240,IJV,VS,G,3,11,1,GRA,HC,P,0,3,0,MártIrez de Barbados,14:00,2:55,9
59SN Cl,2019-09-19,241,SCU,VS,G,4,10,2,ART,HC,P,1,10,3,26 de Julio Artemisa,14:00,3:15,9
59SN Cl,2019-09-19,242,MAY,HC,G,6,8,1,IND,VS,P,4,7,0,Nelsón Fernández,14:00,3:26,9
59SN Cl,2019-09-19,243,HOL,VS,G,7,9,2,MTZ,HC,P,2,7,0,Victoria de Girón MTZ,14:00,2:50,9
59SN Cl,2019-09-19,245,CFG,VS,G,7,15,0,CAV,HC,P,1,8,2,José Ramóm Cepero,14:00,3:00,9
59SN Cl,2019-09-19,246,CMG,HC,G,4,7,0,VCL,VS,P,2,5,2,Candido González,14:00,3:14,9
59SN Cl,2019-09-19,247,IJV,VS,G,3,8,0,LTU,HC,P,2,7,0,Julio Antonio Mella,14:00,3:00,9
59SN Cl,2019-09-19,248,GRA,VS,G,5,7,2,GTM,HC,P,2,10,2,Nguyen Van Troy,14:00,3:12,9
59SN Cl,2019-09-20,252,PRI,VS,G,3,8,0,SSP,HC,P,1,6,0,José Antonio Huelga,10:00,2:17,7
59SN Cl,2019-09-20,249,SCU,VS,G,5,8,2,ART,HC,P,4,4,1,26 de Julio Artemisa,14:00,3:00,9
59SN Cl,2019-09-20,254,CMG,HC,G,4,10,0,VCL,VS,P,0,8,0,Candido González,14:00,2:54,9
59SN Cl,2019-09-20,255,LTU,HC,G,6,15,0,IJV,VS,P,0,5,1,Hermanos Almeijeiras Puerto Padre LTU,14:00,3:10,9
59SN Cl,2019-09-20,256,GRA,VS,G,6,8,2,GTM,HC,P,3,11,1,Nguyen Van Troy,14:00,3:39,10
59SN Cl,2019-09-21,244,SSP,HC,G,3,8,0,PRI,VS,P,0,4,0,José Antonio Huelga,10:00,2:15,7
59SN Cl,2019-09-21,251,MTZ,HC,G,2,9,0,HOL,VS,P,0,8,1,Victoria de Girón MTZ,10:00,3:15,9
59SN Cl,2019-09-21,261,CAV,HC,G,4,13,0,CFG,VS,P,2,5,1,José Ramóm Cepero,10:00,3:00,7
59SN Cl,2019-09-21,250,MAY,HC,G,7,9,0,IND,VS,P,6,13,0,Nelsón Fernández,11:00,4:42,10
59SN Cl,2019-09-21,260,SSP,HC,G,10,12,1,PRI,VS,P,0,3,1,José Antonio Huelga,11:30,1:50,5
59SN Cl,2019-09-21,253,CFG,VS,G,11,11,2,CAV,HC,P,4,6,2,MártIrez de Chambas Chambas CAV,13:00,2:30,5
59SN Cl,2019-09-21,259,MTZHC,G,2,5,0,HOL,VS,P,1,5,0,Victoria de Girón MTZ,13:00,2:30,7
59SN Cl,2019-09-21,257,ART,HC,G,4,8,1,SCU,VS,P,3,7,2,26 de Julio Artemisa,14:00,3:00,9
59SN Cl,2019-09-21,258,IND,VS,G,6,6,0,MAY,HC,P,4,8,2,Nelsón Fernández,14:00,2:55,8
59SN Cl,2019-09-21,262,CMG,HC,G,14,14,0,VCL,VS,P,1,9,2,Candido González,14:00,2:53,7
59SN Cl,2019-09-21,263,LTU,HC,G,5,11,1,IJV,VS,P,1,8,2,Julio Antonio Mella,14:00,3:00,9
59SN Cl,2019-09-21,264,GRA,VS,G,7,13,0,GTM,HC,P,2,8,4,Nguyen Van Troy,14:00,3:28,9
59SN Cl,2019-09-23,265,IJV,HC,G,5,11,0,MAY,VS,P,4,12,1,Cristobal Labra,14:00,4:39,11
59SN Cl,2019-09-23,266,IND,HC,G,5,7,0,HOL,VS,P,1,4,0,Latinoamericano,14:00,2:48,9
59SN Cl,2019-09-23,267,MTZ,HC,G,6,12,0,ART,VS,P,1,9,1,Victoria de Girón MTZ,14:00,2:30,9
59SN Cl,2019-09-23,269,VCL,HC,G,5,10,0,SSP,VS,P,0,8,1,Augusto César Sandino,14:00,2:53,9
59SN Cl,2019-09-23,270,GTM,VS,G,6,11,0,CAV,HC,P,4,11,1,José Ramóm Cepero,14:00,2:57,9
59SN Cl,2019-09-23,271,LTU,VS,G,4,6,0,CMG,HC,P,2,9,1,Candido González,14:00,3:16,9
59SN Cl,2019-09-23,272,SCU,HC,G,8,8,2,GRA,VS,P,3,11,1,Guillermóm Moncada,14:00,3:00,9
59SN Cl,2019-09-24,268,PRI,VS,G,5,17,0,CFG,HC,P,1,7,0,5 de Septiembre,10:00,2:50,9
59SN Cl,2019-09-24,276,CFG,HC,G,1,4,0,PRI,VS,P,0,2,0,5 de Septiembre,13:45,2:10,8
59SN Cl,2019-09-24,273,IJV,HC,G,5,11,0,MAY,VS,P,4,7,0,Cristobal Labra,14:00,3:26,9
59SN Cl,2019-09-24,274,IND,HC,G,7,11,0,HOL,VS,P,6,11,0,Latinoamericano,14:00,4:24,9
59SN Cl,2019-09-24,275,MTZ,HC,G,6,11,0,ART,VS,P,1,9,0,Rubén Aldana Pedro Betancourt MTZ,14:00,2:30,9
59SN Cl,2019-09-24,278,GTM,VS,G,1,4,1,CAV,HC,P,0,4,0,José Ramóm Cepero,14:00,2:58,9
59SN Cl,2019-09-24,279,CMG,HC,G,2,7,1,LTU,VS,P,1,6,2,Candido González,14:00,3:02,9
59SN Cl,2019-09-24,280,GRA,VS,G,7,13,0,SCU,HC,P,6,10,1,Guillermóm Moncada,14:00,3:15,9
59SN Cl,2019-09-25,285,VCL,HC,G,3,7,0,SSP,VS,P,2,9,0,Augusto César Sandino,10:00,2:25,7
59SN Cl,2019-09-25,277,VCL,HC,G,3,7,0,SSP,VS,P,2,6,1,Augusto César Sandino,13:45,3:15,10
59SN Cl,2019-09-25,281,MAY,VS,G,14,14,0,IJV,HC,P,2,6,4,Cristobal Labra,14:00,3:16,8
59SN Cl,2019-09-25,282,HOL,VS,G,7,11,0,IND,HC,P,1,6,0,Latinoamericano,14:00,2:57,9
59SN Cl,2019-09-25,283,MTZ,HC,G,4,8,0,ART,VS,P,3,8,0,Victoria de Girón MTZ,14:00,2:30,10
59SN Cl,2019-09-25,284,CFG,HC,G,7,11,0,PRI,VS,P,3,7,0,5 de Septiembre,14:00,3:15,9
59SN Cl,2019-09-25,286,CAV,HC,G,10,12,0,GTM,VS,P,0,5,3,José Ramóm Cepero,14:00,3:00,7
59SN Cl,2019-09-25,287,LTU,VS,G,2,7,0,CMG,HC,P,1,6,2,Candido González,14:00,2:53,9
59SN Cl,2019-09-25,288,SCU,HC,G,7,14,2,GRA,VS,P,1,7,0,Guillermóm Moncada,14:00,3:21,9
59SN Cl,2019-09-27,289,PRI,HC,G,4,7,2,MTZ,VS,P,1,10,0,Capitán San Luis,14:00,2:34,9
59SN Cl,2019-09-27,290,HOL,VS,G,13,15,1,IJV,HC,P,0,3,3,Cristobal Labra,14:00,2:24,7
59SN Cl,2019-09-27,291,CFGHC,G,10,16,0,SSP,VS,P,3,14,0,5 de Septiembre,14:00,4:05,9
59SN Cl,2019-09-27,292,IND,VS,G,7,8,1,VCL,HC,P,3,7,2,Augusto César Sandino,14:00,3:00,9
59SN Cl,2019-09-27,293,LTU,VS,G,5,7,0,CAV,HC,P,1,7,1,José Ramóm Cepero,14:00,2:45,9
59SN Cl,2019-09-28,302,GRA,HC,G,4,6,0,ART,VS,P,2,9,1,Tirso Hidalgo Niquero GRA,10:00,2:40,7
59SN Cl,2019-09-28,303,CMG,VS,G,7,8,1,SCU,HC,P,5,10,0,Central Dos Rios Palma Soriano SCU,10:00,3:00,7
59SN Cl,2019-09-28,304,GTM,HC,G,4,6,0,MAY,VS,P,0,2,2,Nguyen Van Troy,10:00,3:58,12
59SN Cl,2019-09-28,294,GRA,HC,G,13,12,0,ART,VS,P,2,7,3,Mátirez de Babados,13:00,2:05,5
59SN Cl,2019-09-28,295,SCU,HC,G,4,7,0,CMG,VS,P,2,5,1,Guillermóm Moncada,13:00,3:15,7
59SN Cl,2019-09-28,297,MTZ,VS,G,7,9,0,PRI,HC,P,5,9,3,Capitán San Luis,14:00,3:10,9
59SN Cl,2019-09-28,298,IJV,HC,G,13,11,0,HOL,VS,P,1,6,0,Cristobal Labra,14:00,2:24,7
59SN Cl,2019-09-28,299,SSP,VS,G,6,13,0,CFG,HC,P,5,11,0,5 de Septiembre,14:00,3:40,9
59SN Cl,2019-09-28,300,IND,VS,G,7,7,0,VCL,HC,P,1,1,1,Augusto César Sandino,14:00,2:38,8
59SN Cl,2019-09-28,301,CAV,HC,G,10,9,1,LTU,VS,P,4,8,1,José Ramóm Cepero,14:00,3:00,9
59SN Cl,2019-09-29,296,MAY,VS,G,4,8,0,GTM,HC,P,3,12,0,Nguyen Van Troy,10:00,3:00,7
59SN Cl,2019-09-29,305,PRI,HC,G,7,18,0,MTZ,VS,P,4,13,0,Capitán San Luis,14:00,3:16,9
59SN Cl,2019-09-29,306,HOL,VS,G,9,11,2,IJV,HC,P,8,10,1,Cristobal Labra,14:00,3:48,9
59SN Cl,2019-09-29,307,CFG,HC,G,8,11,4,SSP,VS,P,7,12,1,5 de Septiembre,14:00,4:00,9
59SN Cl,2019-09-29,310,GRA,HC,G,4,9,0,ART,VS,P,2,5,1,Wilfredo Pagés Manzanillo GRA,14:00,3:00,9
59SN Cl,2019-09-29,311,SCU,HC,G,7,11,0,CMG,VS,P,5,12,0,Guillermóm Moncada,14:00,3:35,9
59SN Cl,2019-09-30,312,MAY,VS,G,1,4,1,GTM,HC,P,0,5,0,Estadio Municipal Manuel Tames GTM,10:00,2:28,7
59SN Cl,2019-10-01,314,IND,VS,G,7,10,0,IJV,HC,P,3,10,1,Cristobal Labra,14:00,3:12,9
59SN Cl,2019-10-01,316,VCL,VS,G,3,7,1,MTZ,HC,P,2,8,1,Victoria de Girón MTZ,14:00,3:25,9
59SN Cl,2019-10-01,317,GRA,VS,G,9,14,2,CFG,HC,P,1,6,0,5 de Septiembre,14:00,3:35,8
59SN Cl,2019-10-01,318,SSP,HC,G,10,10,2,LTU,VS,P,2,10,2,José Antonio Huelga,14:00,3:10,9
59SN Cl,2019-10-01,320,CMG,VS,G,4,7,1,GTM,HC,P,3,10,2,Nguyen Van Troy,14:00,3:17,9
59SN Cl,2019-10-02,321,CAV,VS,G,5,7,0,ART,HC,P,4,12,0,26 de Julio Artemisa,10:00,3:00,10
59SN Cl,2019-10-02,323,PRI,VS,G,7,10,0,MAY,HC,P,0,4,1,Nelsón Fernández,10:00,2:17,7
59SN Cl,2019-10-02,327,HOL,HC,G,2,7,0,SCU,VS,P,0,5,2,Calixto García  Iñiguez,10:00,2:47,7
59SN Cl,2019-10-02,313,CAV,VS,G,5,8,1,ART,HC,P,4,6,0,26 de Julio Artemisa,13:00,3:00,7
59SN Cl,2019-10-02,315,MAY,HC,G,8,10,1,PRI,VS,P,1,3,1,Nelsón Fernández,13:00,2:11,6
59SN Cl,2019-10-02,319,HOL,HC,G,9,13,0,SCU,VS,P,2,8,2,Calixto García  Iñiguez,13:00,2:20,7
59SN Cl,2019-10-02,322,IJV,HC,G,4,10,0,IND,VS,P,1,5,0,Cristobal Labra,14:00,2:35,7
59SN Cl,2019-10-02,324,MTZHC,G,12,13,1,VCL,VS,P,2,5,1,Victoria de Girón MTZ,14:00,2:40,8
59SN Cl,2019-10-02,325,CFG,HC,G,11,8,0,GRA,VS,P,5,8,1,5 de Septiembre,14:00,3:10,9
59SN Cl,2019-10-02,326,LTU,VS,G,5,14,0,SSP,HC,P,2,11,0,José Antonio Huelga,14:00,3:15,9
59SN Cl,2019-10-02,328,GTM,HC,G,10,12,2,CMG,VS,P,8,12,2,Geraldo Acosta Yateras GTM,14:00,3:20,9
59SN Cl,2019-10-03,329,CAV,VS,G,13,14,0,ART,HC,P,3,6,1,26 de Julio Artemisa,14:00,3:15,8
59SN Cl,2019-10-03,330,IND,VS,G,6,9,1,IJV,HC,P,2,6,1,Cristobal Labra,14:00,3:34,9
59SN Cl,2019-10-03,331,PRI,VS,G,6,15,0,MAY,HC,P,2,10,1,Nelsón Fernández,14:00,3:00,9
59SN Cl,2019-10-03,332,MTZ,HC,G,4,4,0,VCL,VS,P,1,6,1,Victoria de Girón MTZ,14:00,2:30,8
59SN Cl,2019-10-03,333,CFG,HC,G,7,9,0,GRA,VS,P,2,9,0,5 de Septiembre,14:00,3:25,9
59SN Cl,2019-10-03,335,HOL,HC,G,2,3,0,SCU,VS,P,1,7,0,Calixto García  Iñiguez,14:00,1:45,7
59SN Cl,2019-10-04,336,CMG,VS,G,10,13,1,GTM,HC,P,2,8,1,Nguyen Van Troy,10:00,2:56,9
59SN Cl,2019-10-05,339,CFG,VS,G,4,13,1,VCL,HC,P,1,5,4,Augusto César Sandino,14:00,2:38,9
59SN Cl,2019-10-05,344,HOL,VS,G,5,9,0,GTM,HC,P,3,9,0,Nguyen Van Troy,14:00,3:01,9
59SN Cl,2019-10-06,337,PRI,HC,G,8,8,2,IJV,VS,P,2,8,4,Capitán San Luis,10:00,2:45,9
59SN Cl,2019-10-06,338,IND,VS,G,9,14,1,ART,HC,P,8,11,1,26 de Julio Artemisa,10:00,4:20,9
59SN Cl,2019-10-06,342,GRA,HC,G,5,8,0,CAV,VS,P,2,5,0,Mátirez de Babados,10:00,2:20,9
59SN Cl,2019-10-06,351,SCU,HC,G,2,5,0,MTZ,VS,P,0,3,0,Guillermóm Moncada,11:00,3:00,7
59SN Cl,2019-10-06,345,PRI,HC,G,5,8,1,IJV,VS,P,1,6,2,Capitán San Luis,13:00,1:50,7
59SN Cl,2019-10-06,346,ART,HC,G,3,6,0,IND,VS,P,2,4,0,26 de Julio Artemisa,13:00,3:00,7
59SN Cl,2019-10-06,350,GRA,HC,G,5,6,0,CAV,VS,P,0,5,2,Mátirez de Babados,13:00,1:55,7
59SN Cl,2019-10-06,343,SCU,HC,G,9,13,1,MTZ,VS,P,5,10,0,Guillermóm Moncada,14:00,3:00,7
